Date,Open,High,Low,Close,Volume
2024-10-24,2524.99,2565.15,2461.71,2524.2,56898.5694
2024-10-25,2524.2,2535.48,2385,2457,65154.7232
2024-10-26,2457,2505.63,2455.02,2500.85,53446.0322
2024-10-27,2500.85,2543.51,2470.63,2500.8,46500.9447
2024-10-28,2500.8,2649.81,2489.19,2648.15,52388.1019
2024-10-29,2648.15,2720.17,2600,2683.69,53796.3431
2024-10-30,2683.69,2696.12,2543,2563.13,50995.3908
2024-10-31,2563.13,2585.67,2471,2500.34,60359.133
2024-11-01,2500.34,2537.73,2470.87,2488.13,50315.7591
2024-11-02,2488.13,2496.88,2413.67,2442.94,49086.0355
2024-11-03,2442.94,2490.53,2411,2442.88,46068.6018
2024-11-04,2442.88,2479.17,2359,2441.27,55984.1382
2024-11-05,2441.27,2665.34,2401.8,2633.61,79450.7905
2024-11-06,2633.61,2878.53,2633.33,2846.85,74026.0951
2024-11-07,2846.85,2955.88,2823.55,2936.47,59693.9436
2024-11-08,2936.47,3057.79,2891.3,3040.9,48950.3124
2024-11-09,3040.9,3236.93,2991.29,3208.64,55867.0906
2024-11-10,3208.64,3255.63,3069.82,3235.42,73832.2136
2024-11-11,3235.42,3442.55,3208.9,3260.69,94183.2735
2024-11-12,3260.69,3327.57,3117.89,3311.11,70792.2485
2024-11-13,3311.11,3332.5,3060.29,3077.52,69082.639
2024-11-14,3077.52,3178.8,3015,3023.9,54278.1285
2024-11-15,3023.9,3220,3016.58,3141.62,49046.716
2024-11-16,3141.62,3184.74,3038,3086.6,48376.67
2024-11-17,3086.6,3156.51,3043.28,3143.27,47232.1977
2024-11-18,3143.27,3223.16,3077.41,3104.79,53207.6768
2024-11-19,3104.79,3158.03,3066.54,3129.8,49364.7045
2024-11-20,3129.8,3372.4,3031,3277.14,61917.6803
2024-11-22,3314.44,3494.49,3266.29,3459.91,46535.3743
2024-11-23,3459.91,3469.7,3281.64,3294.01,49454.2442
2024-11-24,3294.01,3536.44,3287.6,3517.93,59648.5076
2024-11-25,3517.93,3545.71,3280.21,3298.13,63106.8534
2024-11-26,3298.13,3571.03,3253.55,3552,49196.5752
2024-11-27,3552,3685.59,3535.35,3542.2,49845.6258
2024-11-28,3542.2,3645.66,3531.34,3614.44,71326.7936
2024-11-29,3614.44,3724.84,3560,3675,153695.9711
2024-11-30,3675,3746.38,3657.89,3727.32,119274.3753
2024-12-01,3727.32,3759.5,3570.75,3671.99,207132.659
